02:39:16 [INFO] Loaded 1985 instances
02:39:16 [INFO] Stratified sample: 43 clean + 65 error = 108 total (33 cells)
02:39:16 [INFO] Evaluating 108 instances with strategy=cot
02:45:07 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:45:08 [INFO] [1/108] acc=100.0% prec=0.0% rec=0.0% f1=0.0% fpr=0.0%
02:46:07 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:46:45 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:47:41 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:48:12 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:49:12 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:50:01 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:50:55 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:56:42 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:57:24 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:57:24 [INFO] [10/108] acc=40.0% prec=0.0% rec=0.0% f1=0.0% fpr=0.0%
02:58:24 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:59:16 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
02:59:51 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:05:37 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:11:02 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:12:03 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:12:41 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:13:25 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:14:16 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:14:55 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:14:55 [INFO] [20/108] acc=40.0% prec=0.0% rec=0.0% f1=0.0% fpr=20.0%
03:20:50 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:26:46 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:27:32 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:33:32 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:34:14 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:35:01 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:35:53 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:36:46 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:37:52 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:38:19 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:38:19 [INFO] [30/108] acc=43.3% prec=60.0% rec=16.7% f1=26.1% fpr=16.7%
03:44:06 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:49:38 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:50:20 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:50:57 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:51:47 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:52:15 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:52:50 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:58:17 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:58:50 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:59:24 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
03:59:24 [INFO] [40/108] acc=40.0% prec=60.0% rec=12.0% f1=20.0% fpr=13.3%
04:05:10 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
04:05:50 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
04:06:55 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
04:07:53 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
04:08:43 [INFO] HTTP Request: POST https://api.minimax.io/v1/chat/completions "HTTP/1.1 200 OK"
