14:10:23 [INFO] Loaded 108 rounded instances
14:10:23 [INFO] ============================================================
14:10:23 [INFO] Starting: Llama 4 Maverick (rounded ablation)
14:10:48 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:10:48 [INFO] [Llama 4 Maverick] 1/108 acc=100.0% rec=0.0% fpr=0.0%
14:10:51 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:11:14 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:11:35 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:12:07 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:12:07 [INFO] [Llama 4 Maverick] 5/108 acc=60.0% rec=33.3% fpr=0.0%
14:12:40 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:13:02 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:13:26 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:13:50 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:14:16 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:14:16 [INFO] [Llama 4 Maverick] 10/108 acc=40.0% rec=14.3% fpr=0.0%
14:14:17 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:14:23 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:14:27 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:14:31 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:14:33 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:14:33 [INFO] [Llama 4 Maverick] 15/108 acc=46.7% rec=33.3% fpr=33.3%
14:14:37 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
14:14:42 [INFO] HTTP Request: POST https://api.deepinfra.com/v1/openai/chat/completions "HTTP/1.1 200 OK"
